Last login: Thu Feb 20 14:40:20 on ttys000
maclab-114:~ nicho050$ ps
  PID TTY           TIME CMD
83899 ttys000    0:00.01 -bash
maclab-114:~ nicho050$ ps x
  PID   TT  STAT      TIME COMMAND
42139   ??  S      0:00.21 /System/Library/Frameworks/LocalAuthentication.frame
42140   ??  S      0:17.35 /usr/sbin/cfprefsd agent
42170   ??  S      0:05.15 /usr/sbin/distnoted agent
42178   ??  S      0:15.77 /usr/libexec/lsd
42188   ??  S      0:00.45 /usr/libexec/languageassetd --firstLogin
42214   ??  S      0:01.62 /System/Library/PrivateFrameworks/IMDPersistence.fra
42274   ??  S      0:00.35 /System/Library/Frameworks/CoreServices.framework/Ve
42339   ??  S      0:11.35 /usr/libexec/pkd
42409   ??  S      0:00.23 /System/Library/PrivateFrameworks/CloudPhotoServices
42443   ??  S      0:00.17 /System/Library/PrivateFrameworks/CloudServices.fram
42493   ??  S      0:00.16 /System/Library/Frameworks/CryptoTokenKit.framework/
42525   ??  S      0:00.18 /System/Library/CoreServices/Menu Extras/SafeEjectGP
42587   ??  S      0:00.68 /System/Library/StagedFrameworks/Safari/SafariShared
42621   ??  S      0:00.15 /System/Library/Frameworks/MediaAccessibility.framew
42623   ??  S      0:00.45 /System/Library/PrivateFrameworks/ContextKit.framewo
42877   ??  S      0:00.98 /System/Library/Frameworks/ApplicationServices.frame
58503   ??  S      0:15.41 /System/Library/PrivateFrameworks/GeoServices.framew
59119   ??  S      0:05.04 /usr/libexec/secinitd
83126   ??  S      0:00.44 /usr/libexec/UserEventAgent (Aqua)
83128   ??  S      0:00.25 /usr/sbin/universalaccessd launchd -s
83130   ??  S      0:00.30 /System/Library/Frameworks/CoreTelephony.framework/S
83139   ??  S      0:02.03 /usr/libexec/trustd --agent
83142   ??  S      0:00.13 /usr/libexec/secd
83152   ??  S      0:00.17 /System/Library/PrivateFrameworks/TelephonyUtilities
83154   ??  S      0:00.37 /System/Library/PrivateFrameworks/CloudKitDaemon.fra
83156   ??  S      0:00.32 /System/Library/Frameworks/Accounts.framework/Versio
83157   ??  S      0:00.17 /System/Library/PrivateFrameworks/IDS.framework/iden
83159   ??  S      0:00.10 /System/Library/PrivateFrameworks/IMCore.framework/i
83160   ??  S      0:00.19 /System/Library/PrivateFrameworks/TCC.framework/Reso
83161   ??  S      0:00.20 /usr/libexec/nsurlsessiond
83165   ??  S      0:00.08 /System/Library/Frameworks/AddressBook.framework/Exe
83171   ??  S      0:00.06 /usr/libexec/rapportd
83172   ??  S      0:00.02 /System/Library/Frameworks/Security.framework/Versio
83174   ??  S      0:00.18 /usr/sbin/usernoted
83179   ??  S      0:00.60 /System/Library/CoreServices/NotificationCenter.app/
